name,category,subcategory,color_subcategory,quarry_number,total_quantity,quantity_available,quantity_on_hold,pieces,thickness,sizes,cutter_size,origin,finish,description,in_stock,featured,measurement_sheet,dna_report
"Calacatta Oro Supremo",Marble,Premium,White,QM-0421,340,340,0,28,"18 / 20","600×600, 800×800, 1200×600","48×48, 32×32","Carrara, Italy",Polished,"Rare Italian marble with bold gold veining. Ideal for feature walls, flooring, and high-end countertops.",1,1,,
"Verde Alpi Classic",Marble,Classic,Exotic,QM-0318,180,165,15,15,16,"600×600, 900×600",24×24,"Valle d'Aosta, Italy","Polished / Honed","Dramatic alpine marble with rich forest green tones and white veining. A timeless luxury choice.",1,0,,
"Black Marquina Elite",Marble,Premium,Black,QM-0509,220,200,20,20,"18 / 20","600×600, 1200×600, 1200×1200",48×48,"Markina-Xemein, Spain",Polished,"Iconic Spanish marble with high contrast white veining. Commands attention in any space.",1,1,,
"Silver Travertine Vein Cut",Travertine,Standard,Grey,QT-0201,410,390,20,35,"15 / 18","400×400, 600×400, 600×600",24×24,"Tivoli, Italy","Unfilled / Filled","Cross-cut travertine revealing natural vein patterns. Warm and organic — perfect for spa and residential settings.",1,0,,
"Honey Onyx Backlit",Onyx,Exotic,Exotic,QO-0102,95,95,0,8,20,"600×300, 1200×600",48×24,Iran,Polished,"Translucent onyx — spectacular when backlit. Transforms any surface into a glowing focal point.",0,1,,
"Rosa Portogallo Deluxe",Marble,Classic,Beige,QM-0612,260,240,20,22,"16 / 20","600×600, 900×600",24×24,Portugal,"Polished / Brushed","Elegant Portuguese marble with soft blush tones. Adds warmth and femininity to luxury interiors.",1,0,,
"Absolute Black Granite",Granite,Standard,Black,QG-0803,500,480,20,45,18,"600×600, 900×600, 1200×600","24×24, 48×24","Karnataka, India","Polished / Flamed","Indian absolute black granite. Zero visible grain — a bold statement for contemporary spaces.",1,0,,
"Kashmir White Supreme",Granite,Premium,White,QG-0711,380,360,20,30,"18 / 20","600×600, 900×600",24×24,"Jammu & Kashmir, India",Polished,"Sought-after Indian granite with dramatic wine and golden crystal inclusions on a white base.",1,0,,
"Pietra Grey Limestone",Limestone,Classic,Grey,QL-0305,145,130,15,12,"15 / 18","400×400, 600×400",16×16,Iran,"Honed / Brushed","Iranian limestone with fossil inclusions. Understated and architectural — a designer favourite.",1,0,,
"Silver Fox Quartzite",Quartzite,Premium,White,QM-0915,170,170,0,14,20,"1200×600, 1200×1200",48×24,Brazil,"Polished / Leathered","Brazilian quartzite with dramatic movement. Hard-wearing and visually spectacular for flooring and statement walls.",1,1,,
